"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 1613905 A1 20060111";"20060111";"200602";"de";"DE 10315523 20030404";"20030404";"20030404";"WO2004088221 20041014 [2004-42]";"EP2004003607 20040405 (de)";"20040405";"";"";"";"F25D 21/02 (1968.09)";"GR-188 63 Perama/Pireus
89537 Giengen";"GR
DE";"81739 München";"DE";"";"";"REFRIGERATION DEVICE WITH ADAPTIVE AUTOMATIC DEFROSTING AND CORRESPONDING DEFROSTING METHOD";""
"EP 1613906 A1 20060111";"20060111";"200602";"de";"DE 10315524 20030404";"20030404";"20030404";"WO2004088222 20041014 [2004-42]";"EP2004003609 20040405 (de)";"20040405";"";"";"";"F25D 21/06 (1968.09)
F25D 21/02 (1968.09)";"GR-18863 Perama/Pireus
89537 Giengen";"GR
DE";"81739 München";"DE";"";"";"REFRIGERATION DEVICE AND OPERATING METHOD FOR THE SAME";""
"EP 1613907 A1 20060111";"20060111";"200602";"de";"DE 10315522 20030404";"20030404";"20030404";"WO2004088223 20041014 [2004-42]";"EP2004003608 20040405 (de)";"20040405";"";"";"";"F25D 21/08 (1968.09)";"GR-18863 Perama/Pireus
89537 Giengen";"GR
DE";"81739 München";"DE";"";"";"METHOD FOR POWER REGULATION OF A DEFROSTER HEATER AND REFRIGERATION DEVICE WITH INTEGRATED DEFROSTER HEATING";""
"EP 1614071 A2 20060111";"20060111";"200602";"en";"US 414462 20030415";"20030415";"20030415";"WO2004093012 20041028 [2004-44]";"IB2004001293 20040413 (en)";"20040413";"";"";"";"G06T 11/20 (1995.01)";"Bucharest
NL-6679 Oosterhout-Nijmegen
GR-2641 Pijnacker
FIN-33820 Tampere";"RO
NL
GR
FI";"02150 Espoo";"FI";"40211 Düsseldorf";"DE";"DETERMINING A COVERAGE MASK FOR A PIXEL";""
"EP 1616308 A2 20060118";"20060118";"200603";"en";"GB 0308629 20030414";"20030414";"20030414";"WO2004090819 20041021 [2004-43]";"GB2004001626 20040414 (en)";"20040414";"";"";"";"G07F 19/00 (1990.01)";"Reading, Berkshire RG10 9UT
Zographou, Athens";"GB
GR";"Reading, Berkshire RG 10 9UT";"GB";"London SW11 1BP";"GB";"PAYMENT APPARATUS AND METHOD";""
"EP 1617836 A2 20060125";"20060125";"200604";"fr";"FR 0304584 20030411";"20030411";"20030411";"WO2004091591 20041028 [2004-44]";"FR2004050156 20040409 (fr)";"20040409";"";"";"";"A61K 31/351 (2000.01)
A61K 31/70 (1985.01)
A61K 36/63 (0000.00)
A23L 1/29 (1985.01)
A61P 19/08 (2000.01)";"F-63122 CEYRAT
GR-15127 MELISSIA
F-63000 CLERMONT-FERRAND
F-63800 COURNON D'AUVERGNE";"FR
GR
FR
FR";"75338 Paris Cédex 07";"FR";"75008 Paris";"FR";"NUTRITIONAL OR THERAPEUTIC COMPOSITION CONTAINING THE COMPOUND OLEUROPEINE OR ONE OF THE DERIVATIVES THEREOF";""
"EP 1617836 B1 20111130";"20111130";"201148";"fr";"FR 0304584 20030411";"20030411";"20030411";"WO2004091591 20041028 [2004-44]";"FR2004050156 20040409 (fr)";"20040409";"";"";"";"A61K 31/351 (2006.01)
A61K 31/70 (2006.01)
A61K 36/63 (2006.01)
A23L 1/29 (2006.01)
A61P 19/08 (2006.01)";"F-63122 CEYRAT
GR-15127 MELISSIA
63540 Romagnat
F-63800 COURNON D'AUVERGNE";"FR
GR
FR
FR";"75338 Paris Cédex 07";"FR";"75009 Paris";"FR";"NUTRITIONAL OR THERAPEUTIC COMPOSITION CONTAINING THE COMPOUND OLEUROPEINE OR ONE OF THE DERIVATIVES THEREOF";""
"EP 1618131 A2 20060125";"20060125";"200604";"en";"US 462867 P 20030415
US 488607 P 20030718
US 498458 P 20030828";"20030415
20030718
20030828";"20030415";"WO2004092405 20041028 [2004-44]";"CA2004000522 20040408 (en)";"20040408";"";"";"";"C07K 14/47 (1995.01)";"Vancouver, British Columbia V6N 2T5
San Anselmo, CA 94960
Vancouver, British Columbia V6H 1N7
Burnaby, British Columbia V3N 4W6
Vancouver, British Columbia V5Y 2A4
Burnaby, British Columbia V5E 2T6
10561 Athens";"CA
US
CA
CA
CA
CA
GR";"Burnaby, British Columbia V5G 4W8";"CA";"Cambridge CB2 1LA";"GB";"JUVENILE HEMOCHROMATOSIS GENE (HFE2A), EXPRESSION PRODUCTS AND USES THEREOF";""
"EP 1622397 A1 20060201";"20060201";"200605";"de";"";"";"20040729";"";"";"";"";"";"";"H04Q 3/76 (2006.01)
H04Q 3/545 (2006.01)
H04Q 3/00 (2006.01)";"2000 Stockerau
GR-145 64 Nea Kifissia / Athens
81379 München
81241 München";"AT
GR
DE
DE";"80333 München";"DE";"80506 München";"DE";"Telecommunication network";""
"EP 1622397 B1 20070627";"20070627";"200726";"de";"";"";"20040729";"";"";"";"";"";"";"H04Q 3/76 (2006.01)
H04Q 3/545 (2006.01)
H04Q 3/00 (2006.01)";"2000 Stockerau
GR-145 64 Nea Kifissia / Athens
81379 München
81241 München";"AT
GR
DE
DE";"80333 München";"DE";"80506 München";"DE";"Telecommunication network";""
"EP 1622765 A1 20060208";"20060208";"200606";"en";"EP 03010233 20030507";"20030507";"20030507";"WO2004098882 20041118 [2004-47]";"EP2004004694 20040504 (en)";"20040504";"";"";"";"B32B 27/32 (1968.09)";"65193 Wiesbaden
GR-194 00 Koropi-Attiki";"DE
GR";"65451 Kelsterbach";"DE";"";"";"SEALABLE, MULTILAYER, COEXTRUDED PACKAGING FILM, ITS USE AND PROCESS FOR ITS PRODUCTIOIN";""
"EP 1622765 B1 20061025";"20061025";"200643";"en";"EP 03010233 20030507";"20030507";"20030507";"WO2004098882 20041118 [2004-47]";"EP2004004694 20040504 (en)";"20040504";"";"";"";"B32B 27/32 (2006.01)";"65193 Wiesbaden
GR-194 00 Koropi-Attiki";"DE
GR";"65926 Frankfurt am Main";"DE";"60048 Frankfurt am Main";"DE";"SEALABLE, MULTILAYER, COEXTRUDED PACKAGING FILM, ITS USE AND PROCESS FOR ITS PRODUCTIOIN";""
"EP 1627051 A2 20060222";"20060222";"200608";"en";"US 468708 P 20030507";"20030507";"20030507";"WO2005033266 20050414 [2005-15]";"US2004014162 20040507 (en)";"20040507";"";"";"";"C12N 1/00 (1980.01)";"Pelham, MA 01002
Newton, MA 02446
GR-117 44 Athens";"US
US
GR";"Boston, MA 02108";"US";"80538 München";"DE";"REGULATION OF ACHERON EXPRESSION";""
"EP 1633626 A1 20060315";"20060315";"200611";"en";"WO PCT/GB03/02539 20030613";"20030613";"20030613";"WO2004110865 20041223 [2004-52]";"GB2003002600 20030617 (en)";"20030617";"";"";"";"B64D 15/20 (1968.09)
G08B 19/02 (1968.09)";"and Laser (IESL) P.O. Box 1527 Heraklio
dshire Luton LU2 9PQ
Luton LU2 9PQ
er (IESL) P.O. Box 1527 Heraklion Crete";"GR
GB
GB
GR";"Bedfordshire, Luton LU2 9PQ";"GB";"Southampton SO14 2AQ";"GB";"ICE DETECTION APPARATUS AND METHOD";""
"EP 1633626 B1 20071114";"20071114";"200746";"en";"WO PCT/GB03/02539 20030613";"20030613";"20030613";"WO2004110865 20041223 [2004-52]";"GB2003002600 20030617 (en)";"20030617";"";"";"";"B64D 15/20 (2006.01)
G08B 19/02 (2006.01)";"and Laser (IESL) P.O. Box 1527 Heraklio
Bedfordshire Luton LU2 9PQ
Luton LU2 9PQ
er (IESL) P.O. Box 1527 Heraklion Crete";"GR
GB
GB
GR";"Bedfordshire, Luton LU2 9PQ";"GB";"London EC1N 2DY";"GB";"ICE DETECTION APPARATUS AND METHOD";""
"EP 1636033 A1 20060322";"20060322";"200612";"en";"BE 200200728 20021213";"20021213";"20021213";"WO2004054806 20040701 [2004-27]";"BE2003000220 20031215 (nl)";"20031215";"";"";"";"B41F 17/26 (1968.09)";"9880 Maria-Aalter";"BE";"9880 Maria-Aalter";"BE";"542 49 Thessaloniki";"GR";"ROTARY PAD PRINTING SYSTEM FOR PRINTING OBJECTS OF LIMITED FLEXIBILITY";""
"EP 1636033 B1 20110824";"20110824";"201134";"en";"BE 200200728 20021213";"20021213";"20021213";"WO2004054806 20040701 [2004-27]";"BE2003000220 20031215 (nl)";"20031215";"";"";"";"B41F 17/26 (2006.01)";"9880 Maria-Aalter";"BE";"9880 Maria-Aalter";"BE";"542 49 Thessaloniki";"GR";"ROTARY PAD PRINTING SYSTEM FOR PRINTING OBJECTS OF LIMITED FLEXIBILITY";""
