"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 0296092 A2 19881221";"19881221";"198851";"en";"GR 870964 19870619
US 115490 19871102
GR 88010015 19880315";"19870619
19871102
19880315";"19870619";"";"";"";"";" 4H 04B   5/00   A";"";"";"Athens";"GR";"Athens";"GR";"113.62 Athens";"GR";"Arrangement for wireless earphones without batteries and electronic circuits, applicable in audio-systems or audio-visual systems of all kinds";"The present invention relates to an arrangement for wireless earphones applicable in audio - systems or audio - visual systems of all kinds.
The present invention overcomes the problem of the high cons­truction, installation, operation, repair and maintenance cost of the wireless earphones of the prior art, due to the batteries and electro­nic circuits employed by the same, by means of a new system of wire­less earphones without batteries and electronic circuits, whose ope­ration is based on the inductive coupling between a space coil and an earphone coil, where the order of inductive coupling depends on the height of installation of the space coil, the circumferential length and number of turns of the two coils, the kind of used cores in the coils (air - or magnetic materials) and specific resistances of the materials used.  <img file=""imgaf001.tif"" he=""79"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""70""/>"
"EP 0296092 A3 19890816";"19890816";"198933";"en";"GR 870964 19870619
US 115490 19871102
GR 88010015 19880315";"19870619
19871102
19880315";"19870619";"";"";"";"";" 4H 04B   5/00   A";"";"";"Athens";"GR";"Athens";"GR";"113.62 Athens";"GR";"Arrangement for wireless earphones without batteries and electronic circuits, applicable in audio-systems or audio-visual systems of all kinds";"The present invention relates to an arrangement for wireless earphones applicable in audio - systems or audio - visual systems of all kinds.
The present invention overcomes the problem of the high cons­truction, installation, operation, repair and maintenance cost of the wireless earphones of the prior art, due to the batteries and electro­nic circuits employed by the same, by means of a new system of wire­less earphones without batteries and electronic circuits, whose ope­ration is based on the inductive coupling between a space coil and an earphone coil, where the order of inductive coupling depends on the height of installation of the space coil, the circumferential length and number of turns of the two coils, the kind of used cores in the coils (air - or magnetic materials) and specific resistances of the materials used.  <img file=""imgaf001.tif"" he=""79"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""70""/>"
"EP 0313709 A1 19890503";"19890503";"198918";"en";"GR 871663 19871030";"19871030";"19871030";"";"";"";"";" 4H 01H  85/32   A";"";"";"Gladstone 4680
GR-121 35 Peristeri Attiki";"AU
GR";"Gladstone 4680
GR-121 35 Peristeri Attiki";"AU
GR";"Athens";"GR";"Status-indicating fuse for D.C. current electrical systems";"A status-indicating fuse of the electrical system of automobiles, machinery and generally any mechanical device, has parallel with the fine melting wire (4) of fuses an indicator lamp (3), which operates with very low current intensities and which has a large electrical resistance. The entire system of the indicator lamp and the melting wire of the fuse are contained within the protective glass cover of the fuse (2). When the electrical system is functioning normally, current flows through the fuse through the fine melting wire, because this presents a very small resistance in comparison to the parallely connected indicator lamp. At this stage, the in­dicator lamp does not light. However, for whatever reason a high current passes through the fine wire, this wire melts and the indicator lamp, which is now connected serially to the cir­cuit, illuminates, thus showing the burnt fuse.  <img file=""imgaf001.tif"" he=""82"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""70""/>"
"EP 0317685 A2 19890531";"19890531";"198922";"en";"GR 871818 19871127";"19871127";"19871127";"";"";"";" 4A 61B   3/12   B";" 4G 02B   5/32   A";"";"";"Glyfada 16675";"GR";"Glyfada 16675";"GR";"Athens 105 62";"GR";"Holographic lenses for ophthalmological use";"The method of the production of holographic lenses for the correction of faulty eye-sight requires two Laser beams emanating from the same source. One of them (the object beam) has to contain the whole of the object's information which the hologram, once made, has to reproduce.
These two beams are simultaneously projected on the photosensitive material on which the interaction pattern is recorded.
The final phase of the hologram's production is the chemical process which is similar to the photographic film development.
The production of the holographic lens requires an object beam which contains the information of the lens' function and not of its image.
The result of the above procedure is the creation of a lens suitable for ophthalmological use.  <img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""66""/><img file=""imgaf002.tif"" he=""126"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""85""/>"
"EP 0317685 A3 19891115";"19891115";"198946";"en";"GR 871818 19871127";"19871127";"19871127";"";"";"";" 4A 61B   3/12   B";" 4G 02B   5/32   A";"";"";"Glyfada 16675";"GR";"Glyfada 16675";"GR";"Athens 105 62";"GR";"Holographic lenses for ophthalmological use";"The method of the production of holographic lenses for the correction of faulty eye-sight requires two Laser beams emanating from the same source. One of them (the object beam) has to contain the whole of the object's information which the hologram, once made, has to reproduce.
These two beams are simultaneously projected on the photosensitive material on which the interaction pattern is recorded.
The final phase of the hologram's production is the chemical process which is similar to the photographic film development.
The production of the holographic lens requires an object beam which contains the information of the lens' function and not of its image.
The result of the above procedure is the creation of a lens suitable for ophthalmological use.  <img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""66""/><img file=""imgaf002.tif"" he=""126"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""85""/>"
"EP 0317685 B1 19941130";"19941130";"199448";"en";"GR 871818 19871127";"19871127";"19871127";"";"";"";" 5A 61B   3/12   B";" 5G 02B   5/32   A";"";"";"Glyfada 16675";"GR";"Glyfada 16675";"GR";"Athens 105 62";"GR";"Holographic lenses for ophthalmological use";""
"EP 0325887 A1 19890802";"19890802";"198931";"en";"GR 872024 19871228";"19871228";"19871228";"";"";"";"";" 4C 05G   1/00   A";"";"";"Athens";"GR";"GR-11745 Athens";"GR";"106 72 Athens";"GR";"Production of fertilizer NP and NPK with NP slurry process achieving increased percentage of water solubility";"The present invention relates to the production of low wa­ter content slurry (6-10 % H₂O) exclusively in the preneu­tralizer (PN) of a classical SLURRY PROCESS NP/NPK plant with simultaneous maximum addition of nitrophosphate slur­ry.
The production of slurry includes the complete conversion of Ca(NO₃)₂ contained in the nitrophosphate slurry to CaHPO₄ and the slurry fluidity is maintained by the addition of safe amounts of NH₄NO₃ solution.
As a consequence from the production of such a slurry,the capacity of a classical SLURRY PROCESS NP/NPK plant can be increased considerably and the cost per ton of produced fertilizer can be reduced drastically WITHOUT USING PIPE REACTOR OR EVAPORATOR.  <img file=""imgaf001.tif"" he=""110"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""80""/>"
"EP 0335814 A2 19891004";"19891004";"198940";"en";"GR 88010039 19880129";"19880129";"19880129";"";"";"";"";" 4A 61M   1/28   A";"";"";"Papagou, Attica";"GR";"Papagou, Attica";"GR";"Athens";"GR";"Peritoneal dialysis system";"A system for the exchange of liquids for the peritoneal cleansing, comprising a T-connection of tubes connecting the peritoneum with two bags, a first one (A) full of cleansing liquid and a second one (B) which is empty for recovering the used liquid. Within the T-connector there is an entry with an inside tubular extension for the introduction of an antiseptic fluid in the peritoneal brane of the T-connector, to eliminate all microb prior to the liquid transfer from and to the peritoneum.  <img file=""imgaf001.tif"" he=""64"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""41""/>"
"EP 0335814 A3 19900307";"19900307";"199010";"en";"GR 88010039 19880129";"19880129";"19880129";"";"";"";"";" 4A 61M   1/28   A";"";"";"Papagou, Attica";"GR";"Papagou, Attica";"GR";"Athens";"GR";"Peritoneal dialysis system";"A system for the exchange of liquids for the peritoneal cleansing, comprising a T-connection of tubes connecting the peritoneum with two bags, a first one (A) full of cleansing liquid and a second one (B) which is empty for recovering the used liquid. Within the T-connector there is an entry with an inside tubular extension for the introduction of an antiseptic fluid in the peritoneal brane of the T-connector, to eliminate all microb prior to the liquid transfer from and to the peritoneum.  <img file=""imgaf001.tif"" he=""64"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""41""/>"
"EP 0335814 B1 19941123";"19941123";"199447";"en";"GR 88010039 19880129";"19880129";"19880129";"";"";"";"";" 5A 61M   1/28   A";"";"";"Papagou, Attica";"GR";"Papagou, Attica";"GR";"Athens";"GR";"Peritoneal dialysis system";""
"EP 0359888 A1 19900328";"19900328";"199013";"fr";"";"";"19880920";"";"";"";"";" 5A 61N   1/22   A";"";"";"546 23 Thessaloniki";"GR";"546 23 Thessaloniki";"GR";"106 72 Athens";"GR";"Dynamic action lumbar, neck or knee girdle to make use of the bioelectric energy produced by electrodes";""
"EP 0418449 A1 19910327";"19910327";"199113";"en";"GR 89010595 19890920";"19890920";"19890920";"";"";"";"";" 5A 61N   2/02   A";"";"";"GR-11744 Athens
Miami Florida 33015
Hollywood Florida 33021";"GR
US
US";"GR-11744 Athens
Miami Florida 33015
Hollywood Florida 33021";"GR
US
US";"GR-106 73 Athens";"GR";"Ion dispersing device by remote action";"The invention concerns a device that by remote action disperses electric charges or ionic concentrations inside organic or inorganic matter, inside biological matter, or inside any matter containing mobile electric charges. The charge transport takes place by remote action, without direct contact and with the main characteristic, a particular direction or one way motion of the charges from a particular target region. Therefore, the device is useful for charging or discharging regions inside bulk matter, where electrical contact is not easy or is not possible. The device is ideal for the Nordenstrom method in the field of medicine, where electrical circuits are established between particular regions, without the necessary electrode invasion.  <img file=""imgaf001.tif"" he=""107"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""80""/>"
"EP 0457860 A1 19911127";"19911127";"199148";"en";"GR 19890100705 19891031";"19891031";"19891031";"WO1991006341 19910516 [1991-11]";"GR1990000002 19901011 (en)";"19901011";"";"";"";"A61N 2/ 02 (    .  )
A61N 2/ 04 (    .  )";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi";"GR
GR";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi";"GR
GR";"GR-106 80 Athens";"GR";"AN ELECTRONIC DEVICE FOR SMOOTHING OF THE CENTRAL NERVOUS SYSTEM DYSFUNCTIONS IN CONJUNCTION WITH THE USE OF THE BIOMAGNETOMETER SQUID";""
"EP 0457860 B1 19980318";"19980318";"199812";"en";"GR 89100705 19891031";"19891031";"19891031";"WO9106341 19910516 [1991-11]";"GR9000002 19901011 (en)";"19901011";"";" 6A 61N   2/04   A";"";"";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi";"GR
GR";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi";"GR
GR";"106 80 Athens";"GR";"AN ELECTRONIC DEVICE FOR SMOOTHING OF THE CENTRAL NERVOUS SYSTEM DYSFUNCTIONS IN CONJUNCTION WITH THE USE OF THE BIOMAGNETOMETER SQUID";""
