"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 1886587 A1 20080213";"20080213";"200807";"en";"GR 2006100467 20060808";"20060808";"20060808";"";"";"";"";"";"";"A24B 1/04 (2006.01)
A24B 3/18 (2006.01)
B07B 1/15 (2006.01)";"Thessaloniki";"GR";"Thessaloniki";"GR";"";"";"Tobacco leave cleaning rollers from scrap and foreign materials";"Tobacco leave cleaning rollers are consisted of a row of rollers which have pins around their perimeter and get rotated by an electric motor (7). When the entire machinery is supplied with tobacco leaves, clean tobacco leaves get separated and leaded on a conveyor belt (8) while scrap and foreign materials pass from the gap between the rollers (6) and propelled by another conveyor belt (9) into the vibrational sieve for an accurate cleaning. <img file=""imgaf001.tif"" he=""97"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1886588 A1 20080213";"20080213";"200807";"en";"GR 2006100466 20060808";"20060808";"20060808";"";"";"";"";"";"";"A24B 1/10 (2006.01)
B30B 15/30 (2006.01)
B65G 47/19 (2006.01)
B65G 47/72 (2006.01)";"Thessaloniki";"GR";"Thessaloniki";"GR";"";"";"Supplying system for tobacco leave press";"Supplying system for tobacco leave press, consisted of a supplying conveyor (1) which moves palindromic during its operation in order to spread the tobacco leaves equally through the big supplying belt (2) as well as through the two smaller (3,4). Through the conveyor belts (2,3,4) which are placed in the interior of a collecting tray the supplying charger (5,6) of the tobacco leave press are feeded with the exact desirable tobacco quantity. <img file=""imgaf001.tif"" he=""90"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1888087 A1 20080220";"20080220";"200808";"en";"GR 20050100213 20050427";"20050427";"20050427";"WO2006114652 20061102 [2006-44]";"GR2006000016 20060404 (en)";"20060404";"";"";"";"A61K 35/58 (2006.01)
A61P 31/18 (2006.01)
A61P 35/00 (2006.01)";"Trikala
Trikala";"GR
GR";"Trikala
Trikala";"GR
GR";"";"";"ETHANOLIC EXTRACT OF ANIMAL ORIGIN COMBINED WITH ENZYMES ACTS THERAPEUTICALLY ON MALIGNANT AND OTHER DISEASES.";""
"EP 1889777 A1 20080220";"20080220";"200808";"en";"GR 20060100443 20060727";"20060727";"20060727";"";"";"";"";"";"";"B62D 63/06 (2006.01)
B60P 3/07 (2006.01)";"19011 Makalasa, Attikis";"GR";"19011 Makalasa, Attikis";"GR";"";"";"Folding trailer for carrying motorcycles";"The folding trailer, with four types A-B-C-D for the transportation of two wheel motorcycles, has two main parts. One part is the web and it consists of four parts (25,27,29,23). The unfolded assembly of these parts has the form of a ""U"" channel. This assembly opens and closes lengthwise, firstly by means of joints (1,2,3,4) fitted at the ends of the four parts: part (25) folds within part (27), whereas part (23) folds onto part (29) and then both these couples (25,27) and (23,29) slide into each other. The entire assembly is connected to the second part, the suspension frame (33). In the case of type C, the frame (33) unfolds to the sides of part (29) and the wheels of the folding trailer are fitted onto this frame (33). The wheel axles are trapped within the hubs (2) of the frame (33) by means of two yokes (1) (safety pins) for frequent mounting, dismounting of the wheels.
Figure 1 illustrates the trailer, fully developed, ready to receive the motorcycle. The motorcycle is secured starting with the front belt figure 1 (a) to the front wheel and then belts (b,c) to the top part of the rear wheel, where we wind a small belt with loops for the clamps (tighteners) (d,e) for the safe transportation of the motorcycle. Figure 28 illustrates the trailer folded and ready for storage. <img file=""imgaf001.tif"" he=""95"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""135""/><img file=""imgaf002.tif"" he=""123"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1896225 A1 20080312";"20080312";"200811";"en";"";"";"20050628";"WO2007000183 20070104 [2007-01]";"EP2005007900 20050628 (en)";"20050628";"";"";"";"B26B 21/52 (2006.01)";"GR-152 35 Vrilissia - Athens
GR-113 63 Kypseli - Athens
GR-114 76 Nea Kypseli - Athens";"GR
GR
GR";"145 69 Anixi, Attiki";"GR";"75440 Paris Cedex 09";"FR";"RAZOR HANDLE PROVIDED WITH AN IMPROVED GRIP";""
"EP 1896225 B1 20110330";"20110330";"201113";"en";"";"";"20050628";"WO2007000183 20070104 [2007-01]";"EP2005007900 20050628 (en)";"20050628";"";"";"";"B26B 21/52 (2006.01)";"GR-152 35 Vrilissia - Athens
GR-113 63 Kypseli - Athens
GR-114 76 Nea Kypseli - Athens";"GR
GR
GR";"145 69 Anixi, Attiki";"GR";"75440 Paris Cedex 09";"FR";"RAZOR HANDLE PROVIDED WITH AN IMPROVED GRIP";""
"EP 1896226 A1 20080312";"20080312";"200811";"en";"";"";"20050628";"WO2007000184 20070104 [2007-01]";"EP2005007901 20050628 (en)";"20050628";"";"";"";"B26B 21/52 (2006.01)";"GR-152 35 Vrilissia-Athens
GR-113 63 Kypseli - Athens
GR-114 76 Nea Kypseli - Athens";"GR
GR
GR";"145 69 Anixi, Attiki";"GR";"75440 Paris Cedex 09";"FR";"IMPROVEMENTS TO RAZOR HANDLE GRIPS";""
"EP 1896226 B1 20090408";"20090408";"200915";"en";"";"";"20050628";"WO2007000184 20070104 [2007-01]";"EP2005007901 20050628 (en)";"20050628";"";"";"";"B26B 21/52 (2006.01)";"GR-152 35 Vrilissia-Athens
GR-113 63 Kypseli - Athens
GR-114 76 Nea Kypseli - Athens";"GR
GR
GR";"145 69 Anixi, Attiki";"GR";"75440 Paris Cedex 09";"FR";"IMPROVEMENTS TO RAZOR HANDLE GRIPS";""
"EP 1896227 A1 20080312";"20080312";"200811";"en";"";"";"20050628";"WO2007000185 20070104 [2007-01]";"EP2005007996 20050628 (en)";"20050628";"";"";"";"B26B 21/52 (2006.01)";"GR-152 35 Vrilissia-Athens
GR-113 63 Kypseli-Athens
GR-114 76 Nea Kypseli-Athens";"GR
GR
GR";"145 69 Anixi, Attiki";"GR";"75440 Paris Cedex 09";"FR";"ERGONOMIC RAZOR HANDLE PROVIDED WITH AN IMPROVED GRIP";""
"EP 1900479 A1 20080319";"20080319";"200812";"en";"GR 20060100513 20060913";"20060913";"20060913";"";"";"";"";"";"";"B24B 23/00 (2006.01)
B24B 7/18 (2006.01)
B24B 55/10 (2006.01)";"18863 Perama";"GR";"18863 Perama";"GR";"";"";"Hand-held self-sustained vacuum grinder";"Portable electromotorised smoothers are wide known as equipment smoothing surfaces. They are distincted in two types: Rotary and pulsive smoothers. Power is provided by an electric motor to the head under it is located the glass-paper.
The innovation is related to the selfholding and fixing of the smoother on the treated surface while the operator simply directs it.
The innovation can be applicated either in rotary neither in pulsive smoothers.
The consequence of the innovation is succeded by the production of a vacuum under the working head that hold it fixed on the treated surface, either if this is inclinated, vertical or upside down without application of press by the operator.
The vacuum is producted by the same motor with an extra propeller or an external vacuum source (vacuum pump) and applied by one or more hoses which terminates on the same level of the head smoother.
On figure 1 is reported a typical portable manual selfholding smoother that is composed by the main body (A), inside it contains the electric motor, the smoothing head (B), handle (C), and the hose (D). The same hose can be connected by an external vacuum source like a vacuum pump so that is realised a depression on the below side (E) of the head.
As well the vacuum function carries the dust away from the working area.
The innovation improves the common smoothers that are unhandly caused by the weight particularly on inclinated, vertical or ceiling surfaces. <img file=""imgaf001.tif"" he=""82"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""125""/>"
